,Index,Variant,Location,Country Code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015
37,80,Estimates,"China, Macao SAR",446,4.3858,4.81,4.4077,2.7367,1.793,1.4079,2.06,2.0,1.405,1.116,0.8252,0.9379,1.1923
38,81,Estimates,"China, Taiwan Province of China",158,6.72,6.1383,5.3458,4.3842,3.3308,2.7417,2.2325,1.7675,1.7583,1.6675,1.325,1.0508,1.1058
39,212,Estimates,Colombia,170,6.76,6.76,6.76,6.181,4.9005,4.2532,3.7,3.1752,2.842,2.5,2.3,2.1,1.9339
40,16,Estimates,Comoros,174,6.0,6.601,6.909,7.05,7.05,7.05,7.05,6.7,6.1,5.6,5.2,4.9,4.6
41,40,Estimates,Congo,178,5.684,5.786,5.989,6.192,6.35,6.35,6.0,5.547,5.207,5.125,5.07,5.0,4.86
42,200,Estimates,Costa Rica,188,5.9462,6.3916,6.28,5.2603,4.0588,3.704,3.5009,3.3066,3.0069,2.6139,2.1674,2.0074,1.8507
43,161,Estimates,Croatia,191,2.73,2.38,2.218,2.003,1.976,1.8986,1.866,1.72,1.523,1.62,1.41,1.522,1.488
44,185,Estimates,Cuba,192,4.15,3.6995,4.6805,4.3,3.6,2.15,1.8495,1.8495,1.6506,1.6449,1.5903,1.577,1.7057
45,119,Estimates,Cyprus,196,3.705,3.498,3.436,2.795,2.49,2.287,2.449,2.428,2.3293,1.8891,1.591,1.48,1.38
46,138,Estimates,Czechia,203,2.7383,2.3765,2.2088,1.9573,2.2108,2.3588,1.966,1.9008,1.6455,1.167,1.187,1.4286,1.4789
